x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
2.63,58960,57595,57775,56015,7864,1737.46,34.09,18794.8,2126.4,1941.7,423475,3.42,4.46,494.29,2.71,6.35,1.37,54960
2.66,57595,57775,56015,57365,7654.7,1779.54,34.51,18253,2116.47,1932.15,411505,3.4,4.2,499.35,2.7,6.35,1.37,55205
2.55,57775,56015,57365,58135,7625.9,1753.61,33.28,17876.4,2108.35,1931.6,401500,3.4,4.2,508.3,2.7,6.35,1.35,55935
2.51,56015,57365,58135,55970,7248.95,1689.11,31.79,17287.8,2017.1,1910.55,396255,3.4,4.2,521.86,2.7,6.36,1.34,56000
2.56,57365,58135,55970,54960,7684.15,1733.17,32.4,17230.05,2073.6,2018.05,388955,3.24,4.16,518.34,2.7,6.35,1.34,58151.67
2.6,58135,55970,54960,55205,7798.95,1722.21,32.22,18360.5,2086.2,2014.1,388505,3,4.1,510.21,2.7,6.34,1.34,59508.33
2.53,55970,54960,55205,55935,7373.15,1608.02,29.92,18121.4,1986.45,1880.95,382815,3,4.1,517.12,2.7,6.34,1.3,59320
2.6,54960,55205,55935,56000,7448.15,1607.29,29.15,18657.2,1981.45,1840.8,372070,3,4.1,519.82,2.69,6.33,1.3,59950
2.67,55205,55935,56000,58151.67,7505.75,1572.42,28.06,18228.2,1987.8,1814.1,371370,3,4.1,520.46,2.7,6.31,1.3,59370
2.74,55935,56000,58151.67,59508.33,7617.33,1604.16,28.93,18793.4,2036.2,1843.45,369697.5,2.9,4.5,512.32,2.69,6.3,1.29,59340
2.75,56000,58151.67,59508.33,59320,7794.9,1634.32,29.76,19439.8,2121.15,1926.15,362320,2.9,4.5,505.98,2.69,6.31,1.28,59780
2.79,58151.67,59508.33,59320,59950,8210.75,1655.3,30.66,19767,2173.25,1989.05,352090,2.9,4.5,495.2,2.69,6.32,1.28,59430
2.84,59508.33,59320,59950,59370,8431.3,1701.86,32.93,20977,2220.6,2125.95,340215,2.9,4.5,488.33,2.69,6.31,1.31,59895
2.89,59320,59950,59370,59340,8398.45,1738.9,33.64,20982.2,2208.6,2105.1,329605,2.9,3.72,484.84,2.69,6.3,1.31,59540
